Elevation,area,area_acc_sum,prop,prop_acc_sum,z,damage_curve
13.65,0.061973643,26.22166907,0.649230685,104.6025201,,
13.75,0.029027921,26.25069699,0.229210887,104.831731,,
13.85,0.033928948,26.28462594,0.31018439,105.1419154,,
13.95,0.095970675,26.38059661,1.912857619,107.054773,,
14.05,0.150520901,26.53111751,1.093366165,108.1481392,,
14.15,0.069843815,26.60096133,0.376376107,108.5245153,,
14.25,0.053556159,26.65451749,0.567471486,109.0919868,,
14.35,0.046427462,26.70094495,0.842396497,109.9343833,,
14.45,0.044909816,26.74585477,0.879531673,110.8139149,,
14.55,0.08046586,26.82632063,1.155238656,111.9691536,,
14.65,0.05007836,26.87639899,0.490400015,112.4595536,,
14.75,0.035696825,26.91209581,0.316814263,112.7763679,,
14.85,0.067841741,26.97993755,0.772973903,113.5493418,,
14.95,0.062237557,27.04217511,0.789285506,114.3386273,,
15.05,0.029481343,27.07165645,0.266376703,114.605004,,
15.15,0.106007127,27.17766358,1.270351941,115.8753559,,
15.25,0.052370127,27.23003371,0.669606437,116.5449624,,
15.35,0.087746309,27.31778001,1.083382127,117.6283445,,
15.45,0.03149536,27.34927537,0.250118673,117.8784632,,
15.55,0.069135634,27.41841101,0.148625282,118.0270884,,
15.65,0.026040905,27.44445191,0.177588738,118.2046772,,
15.75,0.090822655,27.53527457,1.131085675,119.3357628,,
15.85,0.068184581,27.60345915,0.561261073,119.8970239,,
15.95,0.077178871,27.68063802,0.206110362,120.1031343,,
16.05,0.070008071,27.75064609,1.396781711,121.499916,,
16.15,0.081984536,27.83263063,1.05217239,122.5520884,,
16.25,0.026717644,27.85934827,0.17541123,122.7274996,,
16.35,0.071598946,27.93094722,1.393106067,124.1206057,,
16.45,0.068391946,27.99933916,1.587954533,125.7085602,,
16.55,0.161095899,28.16043506,0.360075552,126.0686358,,
16.65,0.039571378,28.20000644,0.718720911,126.7873567,,
16.75,0.053344194,28.25335063,1.103224068,127.8905807,,
16.85,0.025283822,28.27863446,0.159623786,128.0502045,,
16.95,0.076721218,28.35535567,1.352319507,129.402524,,
17.05,0.068398779,28.42375445,0.92403571,130.3265597,,
17.15,0.055101662,28.47885612,0.217479128,130.5440389,,
17.25,0.056143426,28.53499954,0.775408878,131.3194478,,
17.35,0.061110602,28.59611014,0.716881885,132.0363296,,
17.45,0.041477893,28.63758804,0.396645381,132.432975,,
17.55,0.044350689,28.68193873,0.340989913,132.7739649,,
17.65,0.064154559,28.74609328,1.005732368,133.7796973,,
17.75,0.04075425,28.78684753,0.356960361,134.1366577,,
17.85,0.078579752,28.86542729,1.03541908,135.1720767,,
17.95,0.112206542,28.97763383,2.486494607,137.6585713,,
18.05,0.073407365,29.05104119,0.905803551,138.5643749,,
18.15,0.211100177,29.26214137,0.424052813,138.9884277,,
18.25,0.2063696,29.46851097,1.06743805,140.0558658,,
18.35,0.022587014,29.49109799,0.260073038,140.3159388,,
18.45,0.023208658,29.51430664,0.141090067,140.4570289,,
18.55,0.037920162,29.5522268,0.307686032,140.7647149,,
18.65,0.045772165,29.59799897,0.406206724,141.1709216,,
18.75,0.043436711,29.64143568,0.296590662,141.4675123,,
18.85,0.044696174,29.68613185,0.39676493,141.8642772,,
18.95,0.044533105,29.73066496,0.456145911,142.3204231,,
19.05,0.039167511,29.76983247,0.299570264,142.6199934,,
19.15,0.056716461,29.82654893,0.462675294,143.0826687,,
19.25,0.048895295,29.87544423,0.720093773,143.8027625,,
19.35,0.035420716,29.91086494,0.650648503,144.453411,,
19.45,0.113336054,30.024201,1.861314769,146.3147257,,
19.55,0.039603079,30.06380408,0.494047723,146.8087735,,
19.65,0.038088801,30.10189288,0.459477846,147.2682513,,
19.75,0.065471036,30.16736391,1.168394895,148.4366462,,
19.85,0.031077759,30.19844167,0.375169942,148.8118161,,
19.95,0.052700838,30.25114251,0.135934166,148.9477503,,
